        168 -0.330791D+01  0.539354D-02 -0.902478D-02
        169 -0.331282D+01  0.536139D-02 -0.897759D-02
        170 -0.331773D+01  0.532963D-02 -0.893102D-02
        171 -0.332264D+01  0.529824D-02 -0.888506D-02
        172 -0.332755D+01  0.526722D-02 -0.883971D-02
        173 -0.333246D+01  0.523657D-02 -0.879493D-02
        174 -0.333737D+01  0.520627D-02 -0.875074D-02
        175 -0.334228D+01  0.517633D-02 -0.870712D-02
        176 -0.334718D+01  0.514674D-02 -0.866405D-02
        177 -0.335209D+01  0.511749D-02 -0.862153D-02
        178 -0.335699D+01  0.508858D-02 -0.857955D-02
        179 -0.336190D+01  0.506001D-02 -0.853809D-02
        180 -0.336680D+01  0.503176D-02 -0.849716D-02
        181 -0.337171D+01  0.500383D-02 -0.845674D-02
        182 -0.337661D+01  0.497622D-02 -0.841682D-02
        183 -0.338152D+01  0.494893D-02 -0.837740D-02
        184 -0.338642D+01  0.492194D-02 -0.833846D-02
        185 -0.339132D+01  0.489526D-02 -0.830000D-02
        186 -0.339622D+01  0.486888D-02 -0.826201D-02
        187 -0.340113D+01  0.484295D-02 -0.822451D-02
        188 -0.340603D+01  0.481717D-02 -0.818744D-02
        189 -0.341093D+01  0.479168D-02 -0.815081D-02
        190 -0.341583D+01  0.476648D-02 -0.811462D-02
        191 -0.342073D+01  0.474156D-02 -0.807887D-02
        192 -0.342563D+01  0.471691D-02 -0.804354D-02
        193 -0.343053D+01  0.469254D-02 -0.800862D-02
        194 -0.343543D+01  0.466844D-02 -0.797412D-02
        195 -0.344033D+01  0.464460D-02 -0.794002D-02
        196 -0.344522D+01  0.462102D-02 -0.790633D-02
        197 -0.345012D+01  0.459771D-02 -0.787302D-02
        198 -0.345501D+01  0.457464D-02 -0.784010D-02
        199 -0.345991D+01  0.455183D-02 -0.780756D-02
        200 -0.346480D+01  0.452927D-02 -0.777539D-02
        201 -0.346969D+01  0.450694D-02 -0.774359D-02
        202 -0.347459D+01  0.448486D-02 -0.771215D-02
        203 -0.347948D+01  0.446302D-02 -0.768107D-02
