generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     req_topo_2015_plusgrs80
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly_csb
    zero_degree_term     included
                unit     mgal
          refsysname     GRS80
           112.2300     -7.0200      181.766023374926
           112.2400     -7.0200      181.973466939027
           112.2500     -7.0200      182.198397600040
           112.2600     -7.0200      182.421813070825
           112.2700     -7.0200      182.618777649361
           112.2800     -7.0200      182.761550256399
           112.2900     -7.0200      182.823561172350
           112.3000     -7.0200      182.783689288692
           112.3100     -7.0200      182.630207258713
           112.3200     -7.0200      182.363767903994
           112.3300     -7.0200      181.998904896474
           112.3400     -7.0200      181.563703789973
           112.3500     -7.0200      181.097543069104
           112.3600     -7.0200      180.647076495159
           112.3700     -7.0200      180.260889815173
           112.3800     -7.0200      179.983478938463
           112.3900     -7.0200      179.849330375826
           112.4000     -7.0200      179.877915615154
           112.4100     -7.0200      180.070330357556
           112.4200     -7.0200      180.408123686688
           112.4300     -7.0200      180.854592744917
           112.4400     -7.0200      181.358499208257
           112.4500     -7.0200      181.859836741356
           112.4600     -7.0200      182.296988150600
           112.4700     -7.0200      182.614398066508
           112.4800     -7.0200      182.769783318646
           112.4900     -7.0200      182.739926461816
           112.5000     -7.0200      182.524249203631
           112.5100     -7.0200      182.145625495446
           112.5200     -7.0200      181.648236958499
           112.5300     -7.0200      181.092652677449
           112.5400     -7.0200      180.548681726266
           112.5500     -7.0200      180.086851125313
           112.5600     -7.0200      179.769562406127
           112.5700     -7.0200      179.643047619131
           112.5800     -7.0200      179.731168544406
           112.5900     -7.0200      180.031888124839
           112.6000     -7.0200      180.516916199420
           112.6100     -7.0200      181.134633269157
           112.6200     -7.0200      181.815977232168
           112.6300     -7.0200      182.482593271844
           112.6400     -7.0200      183.056247217045
           112.6500     -7.0200      183.468328107367
           112.6600     -7.0200      183.668240828320
           112.6700     -7.0200      183.629619575272
           112.6800     -7.0200      183.353562314694
           112.6900     -7.0200      182.868461593988
           112.7000     -7.0200      182.226440043638
           112.7100     -7.0200      181.496833742623
           112.7200     -7.0200      180.757546621402
           112.7300     -7.0200      180.085374396107
           112.7400     -7.0200      179.546530732459
           112.7500     -7.0200      179.188583325125
           112.7600     -7.0200      179.034826061640
           112.7700     -7.0200      179.081798693178
           112.7800     -7.0200      179.300258300241
           112.7900     -7.0200      179.639460397233
           112.8000     -7.0200      180.034180097885
           112.8100     -7.0200      180.413551252670
           112.8200     -7.0200      180.710569921283
           112.8300     -7.0200      180.871028073481
           112.8400     -7.0200      180.860724207727
           112.8500     -7.0200      180.670028556139
           112.8600     -7.0200      180.315230836869
           112.8700     -7.0200      179.836521584630
           112.8800     -7.0200      179.292897934076
           112.8900     -7.0200      178.754683338278
           112.9000     -7.0200      178.294655768637
           112.9100     -7.0200      177.978950798297
           112.9200     -7.0200      177.858922828396
           112.9300     -7.0200      177.965008491272
           112.9400     -7.0200      178.303360632680
           112.9500     -7.0200      178.855646945581
           112.9600     -7.0200      179.581984914901
           112.9700     -7.0200      180.426570911840
           112.9800     -7.0200      181.325211161946
           112.9900     -7.0200      182.213722072956
           113.0000     -7.0200      183.036068127474
           112.0000     -7.0300      179.981371987105
           112.0100     -7.0300      180.065238789745
           112.0200     -7.0300      180.063283285334
           112.0300     -7.0300      179.986788287388
           112.0400     -7.0300      179.856799608321
           112.0500     -7.0300      179.700900277851
           112.0600     -7.0300      179.549205608762
           112.0700     -7.0300      179.430164450026
           112.0800     -7.0300      179.366766461266
           112.0900     -7.0300      179.373682924741
           112.1000     -7.0300      179.455720870685
           112.1100     -7.0300      179.607769383972
           112.1200     -7.0300      179.816192752897
           112.1300     -7.0300      180.061410748819
           112.1400     -7.0300      180.321233365557
           112.1500     -7.0300      180.574411216349
           112.1600     -7.0300      180.803839020916
           112.1700     -7.0300      180.998911577582
           112.1800     -7.0300      181.156669959881
           112.1900     -7.0300      181.281569666045
           112.2000     -7.0300      181.383922940341
           112.2100     -7.0300      181.477281163542
           112.2200     -7.0300      181.575197471963
           112.2300     -7.0300      181.687917539465
           112.2400     -7.0300      181.819570274008
           112.2500     -7.0300      181.966364880404
           112.2600     -7.0300      182.116154424520
           112.2700     -7.0300      182.249519084770
           112.2800     -7.0300      182.342284576157
           112.2900     -7.0300      182.369157943323
           112.3000     -7.0300      182.307969425101
           112.3100     -7.0300      182.143885809616
           112.3200     -7.0300      181.872928505467
           112.3300     -7.0300      181.504196515154
           112.3400     -7.0300      181.060354363355
           112.3500     -7.0300      180.576177780894
           112.3600     -7.0300      180.095224305628
           112.3700     -7.0300      179.664973622384
           112.3800     -7.0300      179.331023382820
           112.3900     -7.0300      179.131094333457
           112.4000     -7.0300      179.089666959667
           112.4100     -7.0300      179.214026942280
           112.4200     -7.0300      179.492340530840
           112.4300     -7.0300      179.894131220519
           112.4400     -7.0300      180.373217328758
           112.4500     -7.0300      180.872837320536
           112.4600     -7.0300      181.332381340340
           112.4700     -7.0300      181.694906691594
           112.4800     -7.0300      181.914477226954
           112.4900     -7.0300      181.962353907776
           112.5000     -7.0300      181.831181777193
           112.5100     -7.0300      181.536555191998
           112.5200     -7.0300      181.115669830391
           112.5300     -7.0300      180.623145237353
           112.5400     -7.0300      180.124476390701
           112.5500     -7.0300      179.687896778421
           112.5600     -7.0300      179.375664264694
           112.5700     -7.0300      179.235881898284
           112.5800     -7.0300      179.295922551645
           112.5900     -7.0300      179.558341593724
           112.6000     -7.0300      179.999857342157
           112.6100     -7.0300      180.573592805414
           112.6200     -7.0300      181.214353729124
           112.6300     -7.0300      181.846321798829
           112.6400     -7.0300      182.392220480832
           112.6500     -7.0300      182.782807697171
           112.6600     -7.0300      182.965492573869
           112.6700     -7.0300      182.910972127196
           112.6800     -7.0300      182.617026780163
           112.6900     -7.0300      182.108970685939
           112.7000     -7.0300      181.436678310025
           112.7100     -7.0300      180.668547520731
           112.7200     -7.0300      179.883154311101
           112.7300     -7.0300      179.159653367776
           112.7400     -7.0300      178.568142448021
           112.7500     -7.0300      178.161214960471
           112.7600     -7.0300      177.967772899411
           112.7700     -7.0300      177.989880854344
           112.7800     -7.0300      178.203049063875
           112.7900     -7.0300      178.559890667775
           112.8000     -7.0300      178.996663343584
           112.8100     -7.0300      179.441835298397
           112.8200     -7.0300      179.825558483312
           112.8300     -7.0300      180.088821319102
           112.8400     -7.0300      180.191103205771
           112.8500     -7.0300      180.115556460848
           112.8600     -7.0300      179.871070686107
           112.8700     -7.0300      179.490985944634
           112.8800     -7.0300      179.028659916116
           112.8900     -7.0300      178.550502390510
           112.9000     -7.0300      178.127414415378
           112.9100     -7.0300      177.825766966060
           112.9200     -7.0300      177.699100042757
           112.9300     -7.0300      177.781612811408
           112.9400     -7.0300      178.084264839686
           112.9500     -7.0300      178.593952264429
           112.9600     -7.0300      179.275809329174
           112.9700     -7.0300      180.078270873668
           112.9800     -7.0300      180.940170497043
           112.9900     -7.0300      181.798889992541
           113.0000     -7.0300      182.598451920192
           112.0000     -7.0400      180.115863667417
           112.0100     -7.0400      180.153291255712
           112.0200     -7.0400      180.086278484405
           112.0300     -7.0400      179.929848275624
           112.0400     -7.0400      179.711010673868
           112.0500     -7.0400      179.464892036795
           112.0600     -7.0400      179.229868240423
           112.0700     -7.0400      179.042390215136
           112.0800     -7.0400      178.932219985728
           112.0900     -7.0400      178.918723955680
           112.1000     -7.0400      179.008708628942
           112.1100     -7.0400      179.196056158833
           112.1200     -7.0400      179.463156152175
           112.1300     -7.0400      179.783873638412
           112.1400     -7.0400      180.127577771241
           112.1500     -7.0400      180.463612291419
           112.1600     -7.0400      180.765537200191
           112.1700     -7.0400      181.014518290345
           112.1800     -7.0400      181.201379668490
           112.1900     -7.0400      181.327043466996
           112.2000     -7.0400      181.401329629984
           112.2100     -7.0400      181.440340217034
           112.2200     -7.0400      181.462869863764
           112.2300     -7.0400      181.486434538751
           112.2400     -7.0400      181.523571832849
           112.2500     -7.0400      181.579027983729
           112.2600     -7.0400      181.648314444615
           112.2700     -7.0400      181.717908752881
           112.2800     -7.0400      181.767120795153
           112.2900     -7.0400      181.771383468487
           112.3000     -7.0400      181.706495170240
           112.3100     -7.0400      181.553175646661
           112.3200     -7.0400      181.301222636321
           112.3300     -7.0400      180.952587679555
           112.3400     -7.0400      180.522823589886
           112.3500     -7.0400      180.040576490893
           112.3600     -7.0400      179.545072186534
           112.3700     -7.0400      179.081841241746
           112.3800     -7.0400      178.697197273369
           112.3900     -7.0400      178.432188808274
           112.4000     -7.0400      178.316855050913
           112.4100     -7.0400      178.365611262746
           112.4200     -7.0400      178.574467233895
           112.4300     -7.0400      178.920556134600
           112.4400     -7.0400      179.364149507520
           112.4500     -7.0400      179.852997277087
           112.4600     -7.0400      180.328505379943
           112.4700     -7.0400      180.732993638331
           112.4800     -7.0400      181.017101825154
           112.4900     -7.0400      181.146359298949
           112.5000     -7.0400      181.106013717405
           112.5100     -7.0400      180.903419761897
           112.5200     -7.0400      180.567594758287
           112.5300     -7.0400      180.145915485804
           112.5400     -7.0400      179.698311010924
           112.5500     -7.0400      179.289648934886
           112.5600     -7.0400      178.981269972041
           112.5700     -7.0400      178.822761824903
           112.5800     -7.0400      178.845057139504
           112.5900     -7.0400      179.055789941388
           112.6000     -7.0400      179.437567747788
           112.6100     -7.0400      179.949447208616
           112.6200     -7.0400      180.531487218205
           112.6300     -7.0400      181.111849202305
           112.6400     -7.0400      181.615573437787
           112.6500     -7.0400      181.973928790786
           112.6600     -7.0400      182.133143165039
           112.6700     -7.0400      182.061386821912
           112.6800     -7.0400      181.753093729251
           112.6900     -7.0400      181.230040672336
           112.7000     -7.0400      180.539017127026
           112.7100     -7.0400      179.746357197292
           112.7200     -7.0400      178.930010897556
           112.7300     -7.0400      178.170152254830
           112.7400     -7.0400      177.539513685488
           112.7500     -7.0400      177.094674158785
           112.7600     -7.0400      176.869407297455
           112.7700     -7.0400      176.870930306275
           112.7800     -7.0400      177.079520003988
           112.7900     -7.0400      177.451527286322
           112.8000     -7.0400      177.925383089607
           112.8100     -7.0400      178.429804817363
           112.8200     -7.0400      178.893132507786
           112.8300     -7.0400      179.252585169218
           112.8400     -7.0400      179.462247419200
           112.8500     -7.0400      179.498771545590
           112.8600     -7.0400      179.364086550929
           112.8700     -7.0400      179.084802522881
           112.8800     -7.0400      178.708432896499
           112.8900     -7.0400      178.296971254066
           112.9000     -7.0400      177.918698670975
           112.9100     -7.0400      177.639317964375
           112.9200     -7.0400      177.513584377261
           112.9300     -7.0400      177.578519890958
           112.9400     -7.0400      177.849072971704
           112.9500     -7.0400      178.316748601201
           112.9600     -7.0400      178.951331057518
           112.9700     -7.0400      179.705408607168
           112.9800     -7.0400      180.521040523528
           112.9900     -7.0400      181.337631642894
           113.0000     -7.0400      182.099933936903
           112.0000     -7.0500      180.278883624182
           112.0100     -7.0500      180.274692574500
           112.0200     -7.0500      180.148447785907
           112.0300     -7.0500      179.918959755474
           112.0400     -7.0500      179.619127019922
           112.0500     -7.0500      179.291402298079
           112.0600     -7.0500      178.982057099606
           112.0700     -7.0500      178.735038096849
           112.0800     -7.0500      178.586252740487
           112.0900     -7.0500      178.559049840606
           112.1000     -7.0500      178.661484184232
           112.1100     -7.0500      178.885698283225
           112.1200     -7.0500      179.209455484222
           112.1300     -7.0500      179.599559106094
           112.1400     -7.0500      180.016633992147
           112.1500     -7.0500      180.420565794352
           112.1600     -7.0500      180.775814274514
           112.1700     -7.0500      181.055850198265
           112.1800     -7.0500      181.246105352633
           112.1900     -7.0500      181.345051074618
           112.2000     -7.0500      181.363299543907
           112.2100     -7.0500      181.320913625161
           112.2200     -7.0500      181.243373188135
           112.2300     -7.0500      181.156840799118
           112.2400     -7.0500      181.083469330698
           112.2500     -7.0500      181.037483926321
           112.2600     -7.0500      181.022652208318
           112.2700     -7.0500      181.031546602573
           112.2800     -7.0500      181.046731421780
           112.2900     -7.0500      181.043714176826
           112.3000     -7.0500      180.995228201558
           112.3100     -7.0500      180.876202169182
           112.3200     -7.0500      180.668653133894
           112.3300     -7.0500      180.365732016546
           112.3400     -7.0500      179.974256812996
           112.3500     -7.0500      179.515275678903
           112.3600     -7.0500      179.022481211508
           112.3700     -7.0500      178.538609659340
           112.3800     -7.0500      178.110259988254
           112.3900     -7.0500      177.781814098872
           112.4000     -7.0500      177.589294450976
           112.4100     -7.0500      177.555034663343
           112.4200     -7.0500      177.683954037490
           112.4300     -7.0500      177.962027496787
           112.4400     -7.0500      178.357253621952
           112.4500     -7.0500      178.823083861858
           112.4600     -7.0500      179.303932061542
           112.4700     -7.0500      179.742083164350
           112.4800     -7.0500      180.085106162673
           112.4900     -7.0500      180.292780753199
           112.5000     -7.0500      180.342585587479
           112.5100     -7.0500      180.232966149388
           112.5200     -7.0500      179.983881577631
           112.5300     -7.0500      179.634485950413
           112.5400     -7.0500      179.238183489586
           112.5500     -7.0500      178.855657019699
           112.5600     -7.0500      178.546755424741
           112.5700     -7.0500      178.362298559254
           112.5800     -7.0500      178.336891675907
           112.5900     -7.0500      178.483728989887
           112.6000     -7.0500      178.792120242748
           112.6100     -7.0500      179.228125983679
           112.6200     -7.0500      179.738281919291
           112.6300     -7.0500      180.255983554987
           112.6400     -7.0500      180.709744095019
           112.6500     -7.0500      181.032279634544
           112.6600     -7.0500      181.169251745823
           112.6700     -7.0500      181.086526622021
           112.6800     -7.0500      180.774989719898
           112.6900     -7.0500      180.252262931908
           112.7000     -7.0500      179.561068031792
           112.7100     -7.0500      178.764413698082
           112.7200     -7.0500      177.938196807196
           112.7300     -7.0500      177.162147230466
           112.7400     -7.0500      176.510264056556
           112.7500     -7.0500      176.041960692435
           112.7600     -7.0500      175.795047049115
           112.7700     -7.0500      175.781440389204
           112.7800     -7.0500      175.986143348780
           112.7900     -7.0500      176.369604552996
           112.8000     -7.0500      176.873139823354
           112.8100     -7.0500      177.426697801974
           112.8200     -7.0500      177.957954677376
           112.8300     -7.0500      178.401557681998
           112.8400     -7.0500      178.707327358063
           112.8500     -7.0500      178.846374799327
           112.8600     -7.0500      178.814372025659
           112.8700     -7.0500      178.631593255489
           112.8800     -7.0500      178.339771242819
           112.8900     -7.0500      177.996229241830
           112.9000     -7.0500      177.666100440417
           112.9100     -7.0500      177.413686803383
           112.9200     -7.0500      177.294107295155
           112.9300     -7.0500      177.346329737526
           112.9400     -7.0500      177.588480089112
           112.9500     -7.0500      178.016006013710
           112.9600     -7.0500      178.602881911911
           112.9700     -7.0500      179.305633181657
           112.9800     -7.0500      180.069583565462
           112.9900     -7.0500      180.836440941057
           113.0000     -7.0500      181.552171715687
           112.0000     -7.0600      180.474019769448
           112.0100     -7.0600      180.435779966732
           112.0200     -7.0600      180.258851414098
           112.0300     -7.0600      179.965721975231
           112.0400     -7.0600      179.594932208540
           112.0500     -7.0600      179.195876790919
           112.0600     -7.0600      178.822211993593
           112.0700     -7.0600      178.524767353723
           112.0800     -7.0600      178.344917071933
           112.0900     -7.0600      178.309293554201
           112.1000     -7.0600      178.426532908368
           112.1100     -7.0600      178.686457429856
           112.1200     -7.0600      179.061762992584
           112.1300     -7.0600      179.511936580922
           112.1400     -7.0600      179.988828212594
           112.1500     -7.0600      180.443083413038
           112.1600     -7.0600      180.830536685402
           112.1700     -7.0600      181.117686793813
           112.1800     -7.0600      181.285517258133
           112.1900     -7.0600      181.331169370292
           112.2000     -7.0600      181.267285382149
           112.2100     -7.0600      181.119172262216
           112.2200     -7.0600      180.920244607596
           112.2300     -7.0600      180.706445591241
           112.2400     -7.0600      180.510483576120
           112.2500     -7.0600      180.356739984724
           112.2600     -7.0600      180.257599006527
           112.2700     -7.0600      180.211736975031
           112.2800     -7.0600      180.204619216542
           112.2900     -7.0600      180.211126306489
           112.3000     -7.0600      180.199916558759
           112.3100     -7.0600      180.138872404931
           112.3200     -7.0600      180.000812490890
           112.3300     -7.0600      179.768603129352
           112.3400     -7.0600      179.438879912832
           112.3500     -7.0600      179.023782764302
           112.3600     -7.0600      178.550388984266
           112.3700     -7.0600      178.057859624832
           112.3800     -7.0600      177.592648096290
           112.3900     -7.0600      177.202408754336
           112.4000     -7.0600      176.929445627556
           112.4100     -7.0600      176.804627480371
           112.4200     -7.0600      176.842651192691
           112.4300     -7.0600      177.039365276064
           112.4400     -7.0600      177.371591298100
           112.4500     -7.0600      177.799539970999
           112.4600     -7.0600      178.271557455487
           112.4700     -7.0600      178.730606259611
           112.4800     -7.0600      179.121630679497
           112.4900     -7.0600      179.398815692802
           112.5000     -7.0600      179.531741977345
           112.5100     -7.0600      179.509571292936
           112.5200     -7.0600      179.342649816731
           112.5300     -7.0600      179.061259116142
           112.5400     -7.0600      178.711629569735
           112.5500     -7.0600      178.349706983192
           112.5600     -7.0600      178.033478265659
           112.5700     -7.0600      177.814872385696
           112.5800     -7.0600      177.732328257067
           112.5900     -7.0600      177.805049608221
           112.6000     -7.0600      178.029756052157
           112.6100     -7.0600      178.380416306363
           112.6200     -7.0600      178.811056180236
           112.6300     -7.0600      179.261322851265
           112.6400     -7.0600      179.664113314643
           112.6500     -7.0600      179.954289397477
           112.6600     -7.0600      180.077343623082
           112.6700     -7.0600      179.996871907695
           112.6800     -7.0600      179.699853010646
           112.6900     -7.0600      179.199012845698
           112.7000     -7.0600      178.531928071379
           112.7100     -7.0600      177.756948321251
           112.7200     -7.0600      176.946433744939
           112.7300     -7.0600      176.178158697220
           112.7400     -7.0600      175.525976136447
           112.7500     -7.0600      175.050937860222
           112.7600     -7.0600      174.794009409071
           112.7700     -7.0600      174.771312485415
           112.7800     -7.0600      174.972499195522
           112.7900     -7.0600      175.362454793506
           112.8000     -7.0600      175.886092877975
           112.8100     -7.0600      176.475606446388
           112.8200     -7.0600      177.059222755690
           112.8300     -7.0600      177.570321027418
           112.8400     -7.0600      177.955734152064
           112.8500     -7.0600      178.182172964660
           112.8600     -7.0600      178.239967936875
           112.8700     -7.0600      178.143683378075
